region,parent_region,subset,amplitude values,amplitude stderr,center values,center stderr,sigma values,sigma stderr
Dominican Republic,#Global,recovered,112498.03959962567,1730.0374861321336,211.94438619066062,1.1212739033297363,30.11758810796226,0.4725668169705892
Ecuador,#Global,confirmed,155074.71627482926,2831.581258951044,180.80450863903695,1.9360369466751015,41.22607959700693,0.9386828368301025
Ecuador,#Global,deaths,22637.27373196168,3504.5346476747604,252.83503893988558,16.515831858738046,58.09334637913592,3.513042931088571
Ecuador,#Global,recovered,126041.5590840458,3608.8434201237765,196.78276410016394,2.110549524537373,26.851343618471006,1.1541129132486683
Egypt,#Global,confirmed,101056.88795180201,118.21775997537137,148.07429332789417,0.09991786138711849,16.54111728261185,0.084165454377161
Egypt,#Global,deaths,5785.842041931926,17.327717905604924,160.12125147198785,0.24813020635909497,19.83518356004218,0.19969800375130634
Egypt,#Global,recovered,112670.49586679703,715.545377896117,205.4382649188711,0.44159833196743536,26.658856056639067,0.2188106946016539
El Salvador,#Global,confirmed,29914.44547179535,103.49802041008633,185.7309064249909,0.23753183257638893,20.381682129417104,0.16960395708254095
El Salvador,#Global,deaths,876.2999980811297,1.890549863032519,189.88506938322664,0.14392881855804054,20.585400249529812,0.09915211816736488
El Salvador,#Global,recovered,39605.18727985551,1336.3362672050948,238.92016847778132,2.305627675751931,33.887952161209945,0.6229437645493754
Equatorial Guinea,#Global,confirmed,5317.185536363618,56.570893181182555,164.83090151479968,0.8959520192311268,23.03880387339079,0.6786330070314597
Equatorial Guinea,#Global,deaths,86.33209458667201,0.8635983613199171,165.22622999356003,0.7795845020130525,18.366795125384474,0.6305715574928024
Equatorial Guinea,#Global,recovered,5279.259839689639,93.06077902670114,205.39851603891069,0.963767429912114,18.011426246108982,0.6159717569066211
Eritrea,#Global,confirmed,368.5082305318338,4.415809843117008,164.69278836592875,1.0226438577262211,23.812163626865924,0.7651071997223962
Eritrea,#Global,recovered,341.4410596728111,4.31359620400516,185.04063694034403,0.8731779573253536,20.437577012847825,0.6255962050241941
Estonia,#Global,confirmed,2366.680469459231,33.491679634707374,87.75599801128672,1.8179591727128979,23.14909660530525,1.5629866298967638
Estonia,#Global,deaths,66.13087641824985,0.2079650910601028,85.49119630048666,0.28355419643715984,8.93347836845657,0.24717787036470265
Estonia,#Global,recovered,2087.6608725783335,16.777155712528163,118.22220513696931,0.7443301611835043,12.970027988886061,0.6422108753042047
Eswatini,#Global,confirmed,5811.671149785497,17.340564836717963,195.0928637089454,0.189073766312821,20.184528902015433,0.1258939813094851
Eswatini,#Global,deaths,111.82006370996739,0.44736612607346904,198.5815804032185,0.2190078911465825,15.671505159697293,0.1609417290214993
Eswatini,#Global,recovered,5765.945595607203,55.48422344459841,215.02598590513165,0.5068425737177346,19.49424472541833,0.2691224534471791
Ethiopia,#Global,confirmed,87192.65148021081,705.2180291343436,216.60201462345486,0.4036877370414375,18.320168325895704,0.21769616694946967
Ethiopia,#Global,deaths,1377.5994032457215,7.574655141397578,215.59773820239226,0.2838613309636087,19.043073549793448,0.1516762243486109
Ethiopia,#Global,recovered,39450.88311488696,371.3434140548639,223.60639123581396,0.4817772816707094,20.75819300259718,0.21161629980957652
Fiji,#Global,confirmed,30.879164032197703,0.699595988343428,113.07838341748949,3.0349886717500687,39.154131835330254,2.342655665446304
Fiji,#Global,deaths,2.0801835424704556,0.03639258373007181,205.22048269477443,0.7669538096970183,10.36085838448341,0.6197877313818532
Fiji,#Global,recovered,21.33651862846419,0.2951758888460771,106.60303614062018,1.487764070101081,17.033222629973345,1.2759969344447435
Finland,#Global,confirmed,7974.228261541201,57.93042808216726,92.95949441827891,0.8350002267705142,17.516937966596387,0.7183026074461617
Finland,#Global,deaths,331.3193195785554,0.569584020395228,94.45792270021042,0.15128331400078865,9.061028826341447,0.13176854939125676
Finland,#Global,recovered,7189.777366518305,36.69083189093138,108.52428877498461,0.5347932503712678,16.193373801400526,0.45926777223365073
France,#Global,confirmed,4678085017.363854,4485554058292.991,1102.2772723422665,90315.35840663494,92.76567079860705,5.465247118655437
France,#Global,deaths,29969.5932907052,74.73344102491863,83.49578775223075,0.23125860540819138,9.387611022398994,0.2015018425276678
France,#Global,recovered,72837.81634507088,234.79130896976193,91.05518163711758,0.340891667550998,13.730856152975315,0.29501908132121013
France (total),#Global,confirmed,46169.68348658858,2516.813999248316,242.78283922521214,4.857363647154392,46.259756379280645,1.1679829956931913
France (total),#Global,deaths,254.84548237670137,8.77558700521681,199.0374396061325,3.8749910641480385,49.14978398891915,1.4477418798854427
France (total),#Global,recovered,23255.872908575973,523.5691940942447,205.693280209924,1.8881958887151098,34.75044977300391,0.7905895384265827
Gabon,#Global,confirmed,8765.94362173651,37.73325835674949,151.7427593750259,0.38649461517241396,21.35004160810883,0.31176758041646335
Gabon,#Global,deaths,53.2888409443874,0.16376248804443988,141.73977900734383,0.27391493266624,16.696497358547358,0.23165934610984504
Gabon,#Global,recovered,8329.83693401053,29.920912887896392,181.50480670142562,0.26147957874609734,21.626087942669045,0.18658682893818215
Gambia,#Global,confirmed,3542.9356194314832,8.919991833275413,206.36821217191758,0.1028035173183496,8.57861146351759,0.085506906436632
Gambia,#Global,deaths,107.28492100779754,0.4549989502890864,206.304341208276,0.15482360575438342,5.937268560090129,0.13253658794207954
Gambia,#Global,recovered,2347.029460949782,15.210166978003679,225.75028195431906,0.20520404678070106,10.065181982149452,0.13695540668383757
Georgia,#Global,confirmed,138522106.7611799,90337556953.88385,583.8170014627547,21728.349510567397,32.68185258337329,1.3244859965431062
Georgia,#Global,deaths,41.76589144159193,7.091702203434624,213.37158084596305,22.686679270750062,64.03127095302611,6.854736782968769
Georgia,#Global,recovered,25445684.73822755,29010707385.75612,891.594625720333,78745.37081784497,68.56288854782065,4.258093552066276
Germany,#Global,confirmed,230516.62855471237,2620.4200295105466,87.84549189415628,1.4341262789555975,21.82946697447446,1.232654564920604
Germany,#Global,deaths,9105.730630339742,21.59773378564646,89.30114536816532,0.22878622795423906,10.777217906914696,0.19888721315078128
Germany,#Global,recovered,209013.5473343922,1932.0994527432015,99.36492955361312,1.070362602954929,19.35042589940721,0.9159127215931413
Ghana,#Global,confirmed,48531.277107984155,217.75768837016292,169.77971275629523,0.3601236116864165,22.234452784276307,0.2706572203919889
Ghana,#Global,deaths,329.0981436009618,2.2499494335684327,182.45006311086007,0.5481437983741441,26.681670229480424,0.3456849654517612
Ghana,#Global,recovered,46007.85542571342,124.1732406820977,176.35825502992216,0.18594917626962915,16.495414917638982,0.1496486671583606
Greece,#Global,confirmed,368224658.9156357,116538719567.48558,805.404208408229,17632.030945196788,55.69214707736787,1.0542508921674085
Greece,#Global,deaths,406.7615922817407,26.522889296385657,168.54077399722058,9.352398215881488,59.55317032974806,4.165975127388592
Greece,#Global,recovered,1370.9270383383862,5.942346438301894,93.28420363024443,0.29921438217047247,5.227381558729217,0.26192429278615054
Grenada,#Global,confirmed,23.438802986429856,0.09446544803809583,79.39322083121635,0.41477957608525057,11.615836906509612,0.3605028617595207
Grenada,#Global,recovered,23.488021640209638,0.11334618838161441,106.70520754296946,0.4768798087714828,13.492549682290015,0.41188484664279285
Guatemala,#Global,confirmed,94491.4371328788,454.3471467629056,190.5342485382565,0.33289112149310285,22.414528360473323,0.21744527210046907
Guatemala,#Global,deaths,3262.1988181571196,14.217099100825424,184.44396136804883,0.3027640277138928,20.454951170795955,0.2176816914784213
Guatemala,#Global,recovered,77726.30876291577,780.2571261904471,196.64833900916906,0.5479390079032415,14.744043667502472,0.41810757827082384
Guinea,#Global,confirmed,11111.815058430117,131.58284153533953,162.7239692243724,1.2130184714174816,34.38873411707956,0.7592163879376573
Guinea,#Global,deaths,70.2544311533769,0.8431883689324269,166.8400456594846,1.1994193674555256,34.06960765744852,0.7335970983682942
Guinea,#Global,recovered,10562.53813122992,113.77022661680213,176.08125935965361,0.9702267154208402,30.797239441494597,0.5893377412952661
Guinea-Bissau,#Global,confirmed,2189.820137523379,15.97329609061843,129.17620411924935,0.7410374169624006,20.291210607103203,0.6216776766220904
Guinea-Bissau,#Global,deaths,38.132725251472756,0.4106696349962806,158.8929618464445,0.9596425175529424,24.115688492550188,0.7315851939877239
Guinea-Bissau,#Global,recovered,1359.1388522687164,26.965480163287438,178.99375365467694,1.4751532384081363,21.742081708232003,1.0665901787630758
Guyana,#Global,confirmed,20525.6640042174,5315.172065096915,309.78266791096473,10.824788483451004,32.14466446820247,0.7063552976342731
Guyana,#Global,deaths,2012634.3093501555,469510561.3739919,763.3544981911879,11721.566728041658,50.237137489743596,0.8193237294289886
Guyana,#Global,recovered,2955.9884467688544,166.7861026320088,245.25314517196358,2.3450009276623143,20.481948719662824,0.6436310993145695
Haiti,#Global,confirmed,8211.035420769042,37.37364130473935,146.0550601681976,0.37809787912096454,14.481001062032313,0.32200961676674006
Haiti,#Global,deaths,226.88434913048295,1.0388515645159597,164.8934021534371,0.3879117816016338,23.441268295352998,0.2917797029524051
Haiti,#Global,recovered,6170.125175986714,42.69785852718206,176.9697760914188,0.4322452633514089,12.009973990059015,0.3644340641917877
Holy See,#Global,confirmed,12.000772230289229,0.04177651985361467,73.56686561770543,0.36038753119086536,11.266345472801314,0.313535058794406
Holy See,#Global,recovered,12.000673158537886,0.0872444170604331,135.24404429364702,0.4359335470415612,0.1520861790213009,0.2688764666125383
Honduras,#Global,confirmed,80368.77080287266,641.5051430200583,190.5013208570008,0.588130512196416,25.123013096591993,0.3584148218853575
Honduras,#Global,deaths,2528.8751431416713,15.907578852134275,192.9121482132724,0.4648633949587038,25.929056089078106,0.2710520182182633
Honduras,#Global,recovered,352976.3438521119,167274.78655996468,333.0109727841372,18.598144853211707,33.07036354521602,0.7087564557017668
Hungary,#Global,confirmed,642210284.9518931,360842460363.6807,594.4711806321802,18921.71736998975,33.58137177104524,1.3336961485857712
Hungary,#Global,deaths,623.7424575197033,3.7775870021222264,101.96976623241927,0.6282646389229581,14.580431742142096,0.542011776969241
Hungary,#Global,recovered,4817.67410214076,120.0672492358037,153.86111533875786,2.654365028801049,34.19221466843824,1.7625058131538616
Iceland,#Global,confirmed,1966.1348879559823,15.707411101107501,67.0895212119225,0.6903252395222466,7.15393745865418,0.6036002476700117
Iceland,#Global,deaths,10.02546976230981,0.028835724264445695,74.32551422794886,0.2227807510573542,5.9026425826715485,0.195002269186004
Iceland,#Global,recovered,1889.5915458926797,8.374926632425604,82.54859643049137,0.3656837199961145,7.1593434599515735,0.3195216444033696
India,#Global,confirmed,9525699.405694481,59642.66801167357,233.8220174181742,0.3672331689586985,27.325130862888347,0.116027576653674
India,#Global,deaths,137885.2947439276,1542.6154659377426,224.1199338924475,0.78924240172905,31.67018665230092,0.2731270862808835
India,#Global,recovered,8359768.946085035,76107.08099695509,238.95296390630602,0.4839522693854521,25.466732121414122,0.14264421754119785
Indonesia,#Global,confirmed,602768.9452615272,21515.675752631414,257.5327208845249,2.69676142200014,42.02527943656377,0.539654356461067
Indonesia,#Global,deaths,16425.598811221615,342.3627196771933,227.637183854401,1.8628485482888193,42.95172132183931,0.545392745706546
Indonesia,#Global,recovered,355745.0714911693,7893.857225650232,240.7321102365406,1.4059208025321277,31.542591917430364,0.37613369363870314
Iran,#Global,confirmed,499331.27406762255,6427.525938222207,168.93959966372032,1.4912212883564064,43.93886216270137,0.7684281604294905
Iran,#Global,deaths,33900.23563991753,857.7643860585166,193.22244012815557,2.9845354440809015,50.820705506207645,1.1578443655381192
Iran,#Global,recovered,406041.6498264347,3845.137310370991,165.66707085434507,1.0217204733188927,38.48440196238701,0.5848427795123943
Iraq,#Global,confirmed,476823.4941038502,6283.934342537421,221.65084752103664,0.8516435042198107,27.790552260850085,0.3267742095262621
Iraq,#Global,deaths,9476.314278384063,96.26557907731635,192.95947257677997,0.703886669160632,23.193632581223167,0.44036013685953546
Iraq,#Global,recovered,402876.020663341,6006.0136559878865,227.7510273194236,0.882936422157632,26.22068558549481,0.3160265197810948
Ireland,#Global,confirmed,27779.36297389403,214.79176537949934,88.68879736228763,0.7716609432989643,11.639585712101319,0.6700477410389156
Ireland,#Global,deaths,1748.472921593592,3.438840317659677,93.00340254674323,0.17401157495555952,9.067741115792233,0.15158038727209663
Ireland,#Global,recovered,23143.554847886946,78.49123513849705,99.66431285866652,0.26938038759933686,7.4750358570513775,0.23505444036694895
Israel,#Global,confirmed,3506332663.203095,719066139572.8503,691.5470918392222,9395.840207342724,45.80113025379881,0.44973259934633314
Israel,#Global,deaths,27134405.763072666,6909705902.588188,856.1409249575036,15756.45827699243,61.666995624474616,0.8582430131881281
Israel,#Global,recovered,1065730.2457060285,318051.41585408023,317.4345772832511,15.823502001660158,39.90830640279069,1.1430696613645046
